country,both,female,male
Hong Kong,85.29,88.17,82.38
Japan,85.03,88.09,81.91
Macao,84.68,87.62,81.73
Switzerland,84.25,86.02,82.42
Singapore,84.07,86.15,82.06
Italy,84.01,85.97,81.9
Spain,83.99,86.68,81.27
Australia,83.94,85.8,82.08
Channel Islands,83.6,85.31,81.82
Iceland,83.52,84.9,82.15
South Korea,83.5,86.42,80.46
Israel,83.49,84.91,81.98
Sweden,83.33,84.97,81.69
Martinique,83.13,86.1,79.85
France,83.13,85.82,80.32
Malta,83.06,84.68,81.37
Canada,82.96,84.74,81.15
Norway,82.94,84.78,81.11
Ireland,82.81,84.32,81.29
New Zealand,82.8,84.38,81.2
Greece,82.8,85.08,80.52
Luxembourg,82.79,84.76,80.83
Netherlands,82.78,84.35,81.2
Guadeloupe,82.74,85.94,79.16
Portugal,82.65,85.28,79.79
Finland,82.48,85.14,79.82
Belgium,82.17,84.31,80
Austria,82.05,84.19,79.88
Germany,81.88,84.14,79.62
Slovenia,81.85,84.44,79.26
United Kingdom,81.77,83.28,80.22
Réunion,81.55,84.45,78.52
Cyprus,81.51,83.45,79.55
Denmark,81.4,83.27,79.54
U.S. Virgin Islands,81.17,83.52,78.64
Taiwan,81.04,83.64,78.49
Costa Rica,80.94,83.39,78.53
Guam,80.74,83.98,77.63
Chile,80.74,82.8,78.54
Qatar,80.73,82.49,79.78
Puerto Rico,80.69,83.92,77.27
French Guiana,80.53,83.38,77.8
Maldives,79.89,81.58,78.53
Mayotte,79.85,83.24,76.62
Czech Republic (Czechia),79.85,82.35,77.33
Barbados,79.64,80.85,78.36
Curaçao,79.41,82.08,76.42
Poland,79.27,82.98,75.51
Lebanon,79.27,81.17,77.53
Cuba,79.18,81.12,77.25
Estonia,79.18,83.06,74.98
United States,79.11,81.65,76.61
Panama,79.1,82.2,76.14
Croatia,79.02,82.02,75.95
Albania,78.96,80.48,77.48
Oman,78.58,80.94,76.9
United Arab Emirates,78.46,79.8,77.79
Turkey,78.45,81.21,75.57
Uruguay,78.43,81.88,74.75
French Polynesia,78.23,80.41,76.23
New Caledonia,78.16,80.89,75.61
Slovakia,78,81.35,74.59
Bosnia and Herzegovina,77.93,80.32,75.48
Colombia,77.87,80.54,75.18
Thailand,77.74,81.34,74.16
Bahrain,77.73,78.88,76.87
Ecuador,77.71,80.45,75.05
Sri Lanka,77.56,80.74,74.25
Algeria,77.5,78.76,76.3
Antigua and Barbuda,77.47,78.58,76.26
China,77.47,79.73,75.36
Peru,77.44,80.15,74.87
Morocco,77.43,78.66,76.17
Montenegro,77.39,79.77,74.99
Tunisia,77.36,79.34,75.37
Iran,77.33,78.54,76.22
Hungary,77.31,80.66,73.78
Argentina,77.17,80.42,73.82
Aruba,76.79,79.1,74.26
Saint Lucia,76.67,78.06,75.27
Malaysia,76.65,78.78,74.71
Brazil,76.57,80.14,73.01
Romania,76.5,79.91,73.13
Serbia,76.47,79.05,73.89
Lithuania,76.41,81.7,70.97
Brunei,76.35,77.64,75.17
North Macedonia,76.26,78.32,74.26
Syria,76.06,79.11,73.13
Honduras,75.87,78.14,73.57
Kuwait,75.85,77.06,75.09
Vietnam,75.77,79.85,71.73
Latvia,75.73,80.37,70.81
Saudi Arabia,75.69,77.37,74.47
Armenia,75.55,78.9,71.82
Mauritius,75.51,78.92,72.21
